Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
User Signup Request,1000,0,0,3,0.57,100.000%,100.87764,270.22,0.00,2743.0
TOTAL,1000,0,0,3,0.57,100.000%,100.87764,270.22,0.00,2743.0
